<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	W	11.07.2016	0	147,37	139381690		Распадская	W	11.07.2016	0	28,1	9428930		НЛМК ао	W	11.07.2016	0	90,39	12320930
ГАЗПРОМ ао	W	18.07.2016	0	140,6	128069630		Распадская	W	18.07.2016	0	29,1	6454390		НЛМК ао	W	18.07.2016	0	90,34	12216150
ГАЗПРОМ ао	W	25.07.2016	0	137,3	121978930		Распадская	W	25.07.2016	0	33,15	29658640		НЛМК ао	W	25.07.2016	0	95,29	14759500
ГАЗПРОМ ао	W	01.08.2016	0	135,5	120995630		Распадская	W	01.08.2016	0	35,13	17254470		НЛМК ао	W	01.08.2016	0	93,02	10836850
ГАЗПРОМ ао	W	08.08.2016	0	137,83	109872770		Распадская	W	08.08.2016	0	35,78	12495680		НЛМК ао	W	08.08.2016	0	91,97	9329870
ГАЗПРОМ ао	W	15.08.2016	0	136,8	102455690		Распадская	W	15.08.2016	0	39,04	17866200		НЛМК ао	W	15.08.2016	0	92,7	9898030
ГАЗПРОМ ао	W	22.08.2016	0	136,2	82627160		Распадская	W	22.08.2016	0	39	19249740		НЛМК ао	W	22.08.2016	0	91,5	7492840
ГАЗПРОМ ао	W	29.08.2016	0	135,55	93653370		Распадская	W	29.08.2016	0	38,88	14148060		НЛМК ао	W	29.08.2016	0	91,57	9218380
ГАЗПРОМ ао	W	05.09.2016	0	138,54	186860960		Распадская	W	05.09.2016	0	46	32555330		НЛМК ао	W	05.09.2016	0	91,77	6363980
ГАЗПРОМ ао	W	12.09.2016	0	136,47	118367340		Распадская	W	12.09.2016	0	46,89	28901840		НЛМК ао	W	12.09.2016	0	82,74	16895210
ГАЗПРОМ ао	W	19.09.2016	0	136,7	109019020		Распадская	W	19.09.2016	0	55,97	37300280		НЛМК ао	W	19.09.2016	0	87,35	15372150
ГАЗПРОМ ао	W	26.09.2016	0	134,9	116544850		Распадская	W	26.09.2016	0	54,08	51098460		НЛМК ао	W	26.09.2016	0	82,94	10873410
ГАЗПРОМ ао	W	03.10.2016	0	136,1	100962980		Распадская	W	03.10.2016	0	54,39	20991890		НЛМК ао	W	03.10.2016	0	86,4	8831880
ГАЗПРОМ ао	W	10.10.2016	0	136,2	126772500		Распадская	W	10.10.2016	0	56,86	23360200		НЛМК ао	W	10.10.2016	0	87,04	8573230
ГАЗПРОМ ао	W	17.10.2016	0	134,96	73587490		Распадская	W	17.10.2016	0	62,44	37104150		НЛМК ао	W	17.10.2016	0	87,71	11679360
ГАЗПРОМ ао	W	24.10.2016	0	135	65029310		Распадская	W	24.10.2016	0	68,5	44827470		НЛМК ао	W	24.10.2016	0	95,8	20042410
ГАЗПРОМ ао	W	31.10.2016	0	139,9	160443590		Распадская	W	31.10.2016	0	68,44	25634420		НЛМК ао	W	31.10.2016	0	99,7	23882410
ГАЗПРОМ ао	W	07.11.2016	0	147,88	272436670		Распадская	W	07.11.2016	0	72,98	25884750		НЛМК ао	W	07.11.2016	0	117,35	40190830
ГАЗПРОМ ао	W	14.11.2016	0	146,96	139335720		Распадская	W	14.11.2016	0	69,4	31962930		НЛМК ао	W	14.11.2016	0	115,5	17595680
ГАЗПРОМ ао	W	21.11.2016	0	151,31	116192830		Распадская	W	21.11.2016	0	70,22	14160480		НЛМК ао	W	21.11.2016	0	119,39	16579430
ГАЗПРОМ ао	W	28.11.2016	0	152,35	174533160		Распадская	W	28.11.2016	0	69,01	10850770		НЛМК ао	W	28.11.2016	0	115	18772690
ГАЗПРОМ ао	W	05.12.2016	0	152,99	152159000		Распадская	W	05.12.2016	0	68,7	12425250		НЛМК ао	W	05.12.2016	0	113	34853060
ГАЗПРОМ ао	W	12.12.2016	0	156,2	256598720		Распадская	W	12.12.2016	0	79	36505040		НЛМК ао	W	12.12.2016	0	115,18	38253660
ГАЗПРОМ ао	W	19.12.2016	0	149,05	122881900		Распадская	W	19.12.2016	0	78,84	12651000		НЛМК ао	W	19.12.2016	0	111,48	15043230
ГАЗПРОМ ао	W	26.12.2016	0	154,55	64213240		Распадская	W	26.12.2016	0	79,71	7225660		НЛМК ао	W	26.12.2016	0	114,98	10605770
ГАЗПРОМ ао	W	02.01.2017	0	154,1	78027380		Распадская	W	02.01.2017	0	80,7	5113330		НЛМК ао	W	02.01.2017	0	112,14	12833020
